PRODUCTOS COMERCIALES;N-NO3;N-NH4;P;K;Ca;Mg;S;Fe;Mn;Cu;B;Zn;Mo;PRECIO
UREA 46 O ENTEC;0%;46%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%; $ 2.200,00 
NITRATO DE CALCIO 18.6% SÓLIDO + Zn;14%;1%;0%;0%;19%;0%;0%;0%;0%;0%;0%;0%;0%; $ 4.260,00 
NITRATO DE CALCIO 18.5% ;14%;1%;0%;0%;19%;0%;0%;0%;0%;0%;0%;0%;0%; $ 4.600,00 
NITRATO DE POTASIO 36.5% (AMILSOL KP);12%;1%;1%;37%;0%;0%;0%;0%;0%;0%;0%;0%;0%; $ 7.950,00 
NITRATO DE POTASIO 38.2% (AMILSOL NKS);12%;0%;0%;38%;0%;0%;1%;0%;0%;0%;0%;0%;0%; $ 9.016,00 
NITRATO 6,65% DE MAGNESIO 6.09%+ CALCIO 0.2% (AGROFEED);7%;0%;0%;0%;0%;6%;0%;0%;0%;0%;0%;0%;0%; $ 2.050,00 
SULFATO DE MAGNESIO 9.6%;0%;0%;0%;0%;0%;10%;13%;0%;0%;0%;0%;0%;0%; $ 1.460,00 
SULFATO DE POTASIO 41.4% (AMILSOL SOP);0%;0%;0%;41%;0%;0%;18%;0%;0%;0%;0%;0%;0%; $ 8.740,00 
SULFATO DE POTASIO REACCIÓN ALCALINA (ALGANIC) 43,2%;0%;0%;0%;43%;0%;0%;18%;0%;0%;0%;0%;0%;0%; $ 9.273,00 
NITRATO DE AMONIO ;17%;17%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%; $ 5.000,00 
ACIDO NITRICO 11.7%;12%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%; $ 2.270,00 
ACIDO FOSFORICO (26.8%);0%;0%;27%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%; $ 14.450,00 
POTASA CAUSTICA;0%;0%;0%;63%;0%;0%;0%;0%;0%;0%;0%;0%;0%; $ 9.800,00 
FOSFATO MONOPOTASICO 22.7%;0%;0%;23%;28%;0%;0%;0%;0%;0%;0%;0%;0%;0%; $ 13.000,00 
FOSFATO MONOAMONICO 26.4%;0%;12%;26%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%; $ 11.170,00 
UREA FOSFATO ;0%;17%;35%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%; $ 8.196,00 
FERRILENE EDDHA 6%;0%;0%;0%;0%;0%;0%;0%;6%;0%;0%;0%;0%;0%; $ 53.100,00 
TRADECORP Fe JAGUAR EDDHA - EDTA 9%;0%;0%;0%;0%;0%;0%;4%;9%;0%;0%;0%;0%;0%; $ 46.213,00 
TRADECORP Mn 13%;0%;0%;0%;0%;0%;0%;0%;0%;13%;0%;0%;0%;0%; $ 39.463,00 
MIOQ Fe EDTA 13%;0%;0%;0%;0%;0%;0%;0%;13%;0%;0%;0%;0%;0%; $ 28.893,00 
COSMOQUEL Mn EDTA 12%;0%;0%;0%;0%;0%;0%;0%;0%;12%;0%;0%;0%;0%; $ 33.074,00 
COSMOQUEL Fe EDTA 12%;0%;0%;0%;0%;0%;0%;0%;12%;0%;0%;0%;0%;0%; $ 29.653,00 
KELLUS IRON 13%;0%;0%;0%;0%;0%;0%;0%;13%;0%;0%;0%;0%;0%; $ 43.200,00 
MICROKEL Fe 13%;0%;0%;0%;0%;0%;0%;0%;13%;0%;0%;0%;0%;0%; $ 31.250,00 
MICROKEL Cu 14%;0%;0%;0%;0%;0%;0%;0%;0%;0%;14%;0%;0%;0%; $ 43.900,00 
MANUSOLUBOR 20.5%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;21%;0%;0%; $ 16.500,00 
COSMOQUEL COBRE 12%;0%;0%;0%;0%;0%;0%;0%;0%;0%;12%;0%;0%;0%; $ 35.524,00 
KELLUS COOPER 13.5%;0%;0%;0%;0%;0%;0%;0%;0%;0%;14%;0%;0%;0%; $ 47.000,00 
COSMOQUEL Zn EDTA 12%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;12%;0%; $ 35.524,00 
MOLIBDATO DE AMONIO 54%;0%;7%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;54%; $ 300.000,00 
